storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,-0.9498997995991987,0.009062314782717453,3.3287329351356507,8719
Harvey (2017),10,-0.9218436873747491,0.009598671779868657,3.3287329351356507,8719
Harvey (2017),10,-0.8937875751503004,0.010164617666052214,3.3287329351356507,8719
Harvey (2017),10,-0.8657314629258517,0.010760681358346631,3.3287329351356507,8719
Harvey (2017),10,-0.837675350701403,0.01138728287986354,3.3287329351356507,8719
Harvey (2017),10,-0.8096192384769543,0.012044733978687366,3.3287329351356507,8719
Harvey (2017),10,-0.7815631262525047,0.01273324091317542,3.3287329351356507,8719
Harvey (2017),10,-0.753507014028056,0.01345290958099019,3.3287329351356507,8719
Harvey (2017),10,-0.7254509018036073,0.014203753127218152,3.3287329351356507,8719
Harvey (2017),10,-0.6973947895791586,0.014985702075580783,3.3287329351356507,8719
Harvey (2017),10,-0.669338677354709,0.015798616889924805,3.3287329351356507,8719
Harvey (2017),10,-0.6412825651302603,0.01664230270327763,3.3287329351356507,8719
Harvey (2017),10,-0.6132264529058116,0.017516525768862673,3.3287329351356507,8719
Harvey (2017),10,-0.5851703406813629,0.018421031017310758,3.3287329351356507,8719
Harvey (2017),10,-0.5571142284569142,0.019355559975101126,3.3287329351356507,8719
Harvey (2017),10,-0.5290581162324646,0.02031986823780436,3.3287329351356507,8719
Harvey (2017),10,-0.5010020040080159,0.021313741719170488,3.3287329351356507,8719
Harvey (2017),10,-0.47294589178356716,0.02233701102515225,3.3287329351356507,8719
Harvey (2017),10,-0.44488977955911846,0.023389563529626074,3.3287329351356507,8719
Harvey (2017),10,-0.41683366733466887,0.024471353040676484,3.3287329351356507,8719
Harvey (2017),10,-0.38877755511022016,0.025582407313465574,3.3287329351356507,8719
Harvey (2017),10,-0.36072144288577146,0.026722834046503087,3.3287329351356507,8719
Harvey (2017),10,-0.33266533066132276,0.02789282634292767,3.3287329351356507,8719
Harvey (2017),10,-0.30460921843687405,0.029092668874921134,3.3287329351356507,8719
Harvey (2017),10,-0.27655310621242446,0.030322746108922275,3.3287329351356507,8719
Harvey (2017),10,-0.24849699398797576,0.03158355389343226,3.3287329351356507,8719
