home_zip,median_income,ec,ec_pred_from_income,ec_residual
02539,73849,0.87724,0.8981493560080195,-0.020909356008019464
02540,81343,1.03238,0.9390718865221934,0.09330811347780665
02542,43929,1.2357399,0.7347650334854567,0.5009748665145433
02554,116470,0.69814998,1.1308901050131712,-0.4327401250131713
02559,78883,1.23794,0.9256385498442019,0.31230145015579813
02562,110233,1.29017,1.096831681899093,0.19333831810090696
02563,105302,1.31803,1.0699049407774768,0.24812505922252326
02571,72500,1.08386,0.8907828636589907,0.19307713634100931
02575,114432,0.90354002,1.1197611862531116,-0.2162211662531116
02576,60764,1.08412,0.8266960184342316,0.2574239815657684
02601,57844,0.77754998,0.8107507570115751,-0.03320077701157509
02631,88207,1.2225,0.9765541722773696,0.2459458277226303
02632,102733,1.034,1.055876387149119,-0.021876387149118992
02633,95604,1.1352201,1.0169470143127772,0.11827308568722272
02635,68837,1.2412601,0.8707802977031036,0.3704798022968965
02638,100063,0.94593,1.0412963022181283,-0.09536630221812825
02639,46635,0.94819999,0.7495417038312474,0.19865828616875258
02642,76859,1.19745,0.9145860809676757,0.2828639190323242
02644,115078,1.29925,1.1232888023075762,0.1759611976924238
02645,82889,1.19979,0.9475141379466547,0.2522758620533452
02648,111754,1.1879801,1.1051374156743876,0.08284268432561248
02649,83563,1.17257,0.9511946537681857,0.2213753462318142
02653,79250,1.24493,0.9276426289339674,0.31728737106603266
02655,97070,1.15413,1.0249524092599054,0.12917759074009472
02657,72904,1.16301,0.8929889888695228,0.2700210111304773
02660,69931,1.09101,0.8767543100306331,0.21425568996936695
02664,72179,1.02605,0.8890299770436919,0.137020022956308
02667,90625,1.19549,0.9897581593047611,0.20573184069523887
02668,100869,1.21171,1.0456976312272588,0.16601236877274128
02673,65880,0.93370003,0.8546329901596805,0.07906703984031949
02675,96399,1.0594701,1.0212882755562744,0.03818182444372553
02702,105515,0.91478997,1.071068071148376,-0.15627810114837604
02703,81798,1.01731,0.9415565077370252,0.07575349226297479
02715,97148,1.24757,1.025378344325305,0.222191655674695
02717,112308,1.04776,1.108162646779919,-0.06040264677991902
02718,89796,1.12385,0.9852312340583973,0.13861876594160272
02719,79432,0.93102002,0.9286364774199001,0.0023835425800998733
02720,56843,0.80646002,0.8052845903389452,0.0011754296610548831
02721,47963,0.70087999,0.7567935213549761,-0.05591353135497612
02723,43142,0.7184,0.7304674578896928,-0.012067457889692768
02724,43511,0.72324997,0.7324824583913916,-0.009232488391391569
02725,118176,0.94612002,1.1402060693922986,-0.19408604939229868
02726,95307,1.01381,1.0153251846406781,-0.0015151846406780134
02738,106354,1.21105,1.0756496034544065,0.13540039654559344
02739,101487,1.17654,1.0490723475146566,0.1274676524853433
02740,47206,0.72426999,0.752659766938212,-0.028389776938211986
02743,78471,0.95283002,0.9233887389859368,0.029441281014063292
02744,48009,0.6024,0.7570447138294426,-0.15464471382944256
02745,63623,0.80553001,0.8423081767929217,-0.036778166792921674
02746,37565,0.58288997,0.7000131007136122,-0.11712313071361224
02747,90048,0.89512002,0.9866073319619965,-0.09148731196199644
