zip,expansion_factor
95134,20.84532924961715
95829,26.56657223796034
94596,20.254863813229573
95672,6.076833527357392
95831,35.99830651989839
95472,31.94392523364486
95070,25.938690969345483
95640,18.796232876712327
94521,35.88925895087427
94109,38.39905149051491
95818,22.24360286591607
94566,52.58877434135166
94121,41.78912213740458
95662,37.43391812865497
95126,30.040066777963272
95628,37.41674249317561
95315,21.240909090909092
95118,32.17391304347826
95060,49.96518987341772
94949,17.160275319567354
94621,38.776923076923076
95231,7.4662756598240465
93930,37.26521739130435
95127,63.464734299516905
94561,54.929226736566186
95746,23.328699106256206
95673,16.97521551724138
94401,34.01921229586936
95762,46.340239912758996
95825,28.984627831715212
94133,24.676279069767443
94806,62.29206963249516
95366,23.728494623655912
95032,25.867125984251967
95665,6.057142857142857
94515,13.06854130052724
93924,14.826185101580135
94102,25.464754098360658
95008,36.74012638230648
95765,49.77398160315374
94132,34.04108108108108
95010,11.459390862944163
95133,28.329388560157792
94610,24.839116719242902
94070,34.76931690929451
94564,24.427480916030536
94580,36.603911980440095
94941,37.22441860465116
95064,17.51530612244898
94603,37.84792122538293
95128,40.069148936170215
94087,56.428994082840234
94523,31.0859167404783
94612,15.095864661654135
94510,33.01635514018692
94134,42.09217046580773
95322,23.435555555555556
94402,29.377423033067274
95677,27.537037037037038
93907,33.52871870397644
95018,9.73793103448276
95405,27.08080808080808
94559,33.28053204353083
95202,9.495253164556962
94030,34.831288343558285
94060,4.23921568627451
95012,28.70212765957447
94107,29.25024630541872
95621,54.159533073929964
95842,55.73229706390328
95237,6.3621621621621625
94085,23.58841158841159
94602,40.66983695652174
94117,48.991140642303435
95003,35.48142857142857
95819,22.289115646258505
95821,43.1021897810219
94563,30.896166134185304
94597,26.840613931523023
95841,26.839634941329855
94619,33.997202797202796
94965,17.311077389984824
94131,39.55291005291005
93908,18.8953125
94579,34.491392801251955
95357,23.489626556016596
94608,36.84793187347932
94530,30.991576413959084
95864,34.39565217391304
95062,51.181695827725434
95446,10.991379310344827
94618,28.02796052631579
