zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
95118,673.0,0.5527488855869243,0.11739411693926234,1012,0.73425001,0.085759997
95134,747.0,0.32663989290495316,0.0913587140870268,1306,0.71366,0.10252
95835,1211.0,0.5772089182493807,0.1260461517045498,1023,0.77397001,0.084020004
95112,1047.0,0.3973256924546323,0.08787266623142304,1920,0.69132,0.08422
95661,854.0,0.40749414519906324,0.09513944696416067,1193,0.73869997,0.086630002
95687,1679.0,0.4949374627754616,0.0990279586573431,2040,0.93602002,0.087300003
94510,564.0,0.4521276595744681,0.08387786089211989,856,0.95542002,0.095420003
94598,392.0,0.39285714285714285,0.08802546192177339,844,0.83285999,0.086309999
95129,1528.0,0.45157068062827227,0.09747077530951176,2214,0.88571,0.10006
95682,907.0,0.4807056229327453,0.10009673541504453,1180,0.91969001,0.090449996
95662,680.0,0.4294117647058823,0.08567047556561826,855,0.79615003,0.083180003
94903,1570.0,0.3821656050955414,0.10309272151575177,1428,0.86295998,0.088509999
95051,1336.0,0.40194610778443113,0.08967336228152373,1850,0.74103999,0.09663
94954,1903.0,0.44245927482921704,0.09763432110231723,1912,0.93664998,0.096390001
95827,1150.0,0.5260869565217391,0.11089756749022413,1463,0.74013001,0.087219998
94904,303.0,0.4884488448844885,0.10442086740811045,510,0.70415002,0.080760002
94086,1282.0,0.38845553822152884,0.08897296439591408,1964,0.69278002,0.094700001
95014,1747.0,0.5082999427590155,0.1056012160846001,2249,0.90404999,0.10137
93940,1061.0,0.3911404335532517,0.08337123704298503,1577,0.88483,0.088950001
94589,1130.0,0.5637168141592921,0.11770332672450629,1418,0.87532997,0.093160003
95209,2458.0,0.4780309194467046,0.10867033677421144,2090,0.84865999,0.082769997
95762,652.0,0.5644171779141104,0.10373295217054213,917,0.87822002,0.083580002
95301,1938.0,0.4855521155830753,0.12421080743094026,1406,0.95251,0.086960003
94801,754.0,0.5888594164456233,0.1158425721480559,966,0.85835999,0.084399998
94521,722.0,0.425207756232687,0.08569524380505537,1201,0.84547001,0.089670002
94547,909.0,0.5225522552255225,0.10982380055406499,1157,0.90581,0.092
94121,697.0,0.47776183644189385,0.1012661365990498,1048,0.73811001,0.083870001
94550,1213.0,0.4765045342126958,0.09733420212476321,1497,0.91615999,0.088469997
94555,975.0,0.5446153846153846,0.10594672652005124,1134,0.88515002,0.095210001
95133,601.0,0.540765391014975,0.11876991177955948,1014,0.77000999,0.090510003
94603,577.0,0.4038128249566724,0.08995052743262476,914,0.8409,0.081029996
95351,2199.0,0.4979536152796726,0.10518351780086833,1941,0.88362998,0.078089997
94949,668.0,0.5359281437125748,0.10138417216241585,1017,0.82928997,0.091069996
95119,838.0,0.3794749403341289,0.09020935029433126,1076,0.6195991,0.083942272
95695,1235.0,0.43724696356275305,0.1034400560047386,962,0.97613001,0.096179999
95326,1108.0,0.6064981949458483,0.1287725262124479,825,0.94108999,0.094690003
