event,GEOID,n_total,n_damaged,n_abandoned,n_rhigher,Abandoned_normalized,R_Higher_normalized,median_income,ec_tract,support_ratio_tract,volunteering_rate_tract
Harvey,48201252500,5,1,1,0,1.0,0.0,52412.0,0.5669335812000003,0.9030491812,0.0199447991199999
Harvey,48201252602,24,7,4,2,0.5714285714285714,0.2857142857142857,,,,
Harvey,48201252800,6,0,0,0,,,63652.0,0.7737710126776605,0.9519790804522272,0.0562145546354981
Harvey,48201253102,4,1,1,0,1.0,0.0,96870.0,,,
Harvey,48201253201,600,45,6,29,0.13333333333333333,0.6444444444444445,104574.0,,,
Harvey,48201253601,1,0,0,0,,,89656.0,,,
Harvey,48201253700,2,0,0,0,,,63423.0,0.7402100000000001,0.96131998,0.03898
Harvey,48201253800,5,0,0,0,,,53991.0,0.7401899948192301,0.961315864413632,0.0389785279256187
Harvey,48201253900,11,2,2,0,1.0,0.0,59907.0,0.6630200099999997,0.94543999,0.033300001
Harvey,48201254000,4,1,0,0,0.0,0.0,49668.0,0.66302001,0.9454399899999998,0.033300001
Harvey,48201254400,1,1,0,0,0.0,0.0,44848.0,0.6630200099999999,0.9454399900000002,0.033300001
Harvey,48201254600,1,0,0,0,,,57063.0,0.6630200100000001,0.9454399899999998,0.033300001
Harvey,48201254700,3,0,0,0,,,59595.0,0.6630200100000001,0.94543999,0.033300001
Harvey,48201254800,2,1,0,1,0.0,1.0,48713.0,,,
Harvey,48201310700,6,0,0,0,,,51597.0,0.6241499800000001,0.80813998,0.05046
Harvey,48201310800,3,0,0,0,,,50864.0,0.6214414034698796,0.8094942696024094,0.0497886505578313
Harvey,48201310900,6,0,0,0,,,41500.0,0.56339002,0.8385199899999999,0.0353999989999999
Harvey,48201311002,1,0,0,0,,,50972.0,,,
Harvey,48201311100,3,2,2,0,1.0,0.0,43839.0,0.5108154869588852,0.8122923719232077,0.0201088423068297
Harvey,48201311200,3,0,0,0,,,60938.0,0.6241499800000001,0.8081399799999998,0.05046
Harvey,48201311400,2,0,0,0,,,45338.0,0.51051003,0.8121399899999997,0.020020001
Harvey,48201311900,2,0,0,0,,,57361.0,0.62414998,0.8081399800000001,0.05046
Harvey,48201312000,7,3,0,3,0.0,1.0,68571.0,0.8767100000000002,0.7418400000000002,0.075599998
Harvey,48201312603,1,0,0,0,,,73169.0,,,
Harvey,48201312902,1,0,0,0,,,48080.0,,,
Harvey,48201313102,1,0,0,0,,,69861.0,,,
Harvey,48201313202,4,0,0,0,,,82452.0,,,
Harvey,48201320500,5,2,1,1,0.5,0.5,67250.0,0.56160998,0.8568500300000002,0.02093
Harvey,48201320700,1,0,0,0,,,53924.0,0.56160998,0.85685003,0.02093
Harvey,48201320800,94,9,5,1,0.5555555555555556,0.1111111111111111,37190.0,0.5668600200000005,0.89067,0.018449999
Harvey,48201320901,35,1,1,0,1.0,0.0,49291.0,,,
Harvey,48201320902,192,8,5,0,0.625,0.0,83406.0,,,
Harvey,48201321002,62,4,2,1,0.5,0.25,61986.0,,,
Harvey,48201321401,28,5,1,3,0.2,0.6,51094.0,0.5668600199999999,0.8906699999999997,0.0184499989999999
Harvey,48201321402,36,3,0,1,0.0,0.3333333333333333,82746.0,0.5668600200000001,0.8906700000000003,0.0184499989999999
Harvey,48201321800,1,0,0,0,,,74420.0,0.5616099800000002,0.8568500300000003,0.0209299999999999
Harvey,48201322100,1,0,0,0,,,49000.0,0.5581688464886613,0.8565913958985617,0.0189739766269202
