disaster,damage_grp,rel_day,p,n,lo,hi
Irma (2017),Damaged,14,0.5948372615039281,6237,0.5826534819916708,0.6070210410161855
Irma (2017),Damaged,15,0.6129666011787819,3054,0.5956917552468277,0.630241447110736
Irma (2017),Undamaged,-10,0.1606896551724138,4350,0.14977608889400104,0.17160322145082654
Irma (2017),Undamaged,-9,0.2355782892867292,3519,0.2215572380487309,0.2495993405247275
Irma (2017),Undamaged,-8,0.28233868524689487,3301,0.2669826793082922,0.2976946911854975
Irma (2017),Undamaged,-7,0.29064976228209194,3155,0.27480551050996244,0.30649401405422144
Irma (2017),Undamaged,-6,0.28067185978578385,4108,0.26693131932719955,0.29441240024436816
Irma (2017),Undamaged,-5,0.29240534033705406,4569,0.27921577706310335,0.3055949036110048
Irma (2017),Undamaged,-4,0.3240247282029418,4691,0.31063172918710996,0.33741772721877367
Irma (2017),Undamaged,-3,0.32390243902439025,6150,0.31220662895071205,0.33559824909806846
Irma (2017),Undamaged,-2,0.39135049084637835,3769,0.37576897943341353,0.4069320022593432
Irma (2017),Undamaged,-1,0.4745575221238938,1808,0.45153971859799685,0.49757532564979073
Irma (2017),Undamaged,0,0.5256478053939715,1891,0.5031412935281891,0.5481543172597538
Irma (2017),Undamaged,1,0.4945242984257358,2922,0.47639587964575497,0.5126527172057167
Irma (2017),Undamaged,2,0.4842844064693317,3277,0.467173491821383,0.5013953211172804
Irma (2017),Undamaged,3,0.4902165405687451,3833,0.47439045490277365,0.5060426262347165
Irma (2017),Undamaged,4,0.4914212548015365,3905,0.475741053873624,0.507101455729449
Irma (2017),Undamaged,5,0.5003996802557954,3753,0.4844027498754048,0.5163966106361859
Irma (2017),Undamaged,6,0.5176025603724178,3437,0.5008967706612667,0.5343083500835689
Irma (2017),Undamaged,7,0.512279488066413,2891,0.49405853793809074,0.5305004381947352
Irma (2017),Undamaged,8,0.5068059512503957,3159,0.48937138989888546,0.5242405126019061
Irma (2017),Undamaged,9,0.509167492566898,4036,0.49374418618461374,0.5245907989491823
Irma (2017),Undamaged,10,0.5229828850855746,4090,0.5076753544835235,0.5382904156876256
Irma (2017),Undamaged,11,0.5266403552047361,4054,0.5112706024293306,0.5420101079801415
Irma (2017),Undamaged,12,0.5445960125918153,3812,0.5287866169397261,0.5604054082439046
Irma (2017),Undamaged,13,0.5609824957651045,3542,0.5446389092503642,0.5773260822798448
Irma (2017),Undamaged,14,0.562565720294427,3804,0.546801269089305,0.5783301714995489
Irma (2017),Undamaged,15,0.5668358714043993,1773,0.5437707041151031,0.5899010386936955
Michael (2018),Damaged,-10,0.10252707581227437,1385,0.08655132978496324,0.11850282183958549
Michael (2018),Damaged,-9,0.13130615065653076,1447,0.11390420877025834,0.14870809254280318
Michael (2018),Damaged,-8,0.16277423920736023,1413,0.14352564048099667,0.18202283793372379
Michael (2018),Damaged,-7,0.18163672654690619,1503,0.1621449474993727,0.20112850559443968
Michael (2018),Damaged,-6,0.32602739726027397,365,0.27793706153881104,0.3741177329817369
Michael (2018),Damaged,-5,0.2780989081567116,1557,0.2558427470556154,0.30035506925780786
Michael (2018),Damaged,-4,0.33499288762446655,1406,0.3103214561116144,0.3596643191373187
Michael (2018),Damaged,-3,0.32576350822239625,1277,0.3000584870154339,0.3514685294293586
Michael (2018),Damaged,-2,0.35240963855421686,1328,0.32671567457350087,0.37810360253493286
Michael (2018),Damaged,-1,0.5178389398572885,981,0.4865698682672553,0.5491080114473216
Michael (2018),Damaged,0,0.7391304347826086,414,0.6968316246660293,0.781429244899188
Michael (2018),Damaged,1,0.7319932998324958,597,0.6964632935341833,0.7675233061308083
Michael (2018),Damaged,2,0.74375,640,0.7099270478839628,0.7775729521160373
Michael (2018),Damaged,3,0.7304625199362041,627,0.6957304352388051,0.7651946046336032
Michael (2018),Damaged,4,0.7336601307189542,612,0.6986377301602128,0.7686825312776956
Michael (2018),Damaged,5,0.7069243156199678,621,0.6711240189801654,0.7427246122597703
Michael (2018),Damaged,6,0.7065088757396449,845,0.6758056494184314,0.7372121020608585
Michael (2018),Damaged,7,0.6861081654294804,943,0.6564880649035556,0.7157282659554052
Michael (2018),Damaged,8,0.6823734729493892,1146,0.6554188529717797,0.7093280929269987
Michael (2018),Damaged,9,0.7063339731285988,1042,0.6786802179724691,0.7339877282847285
Michael (2018),Damaged,10,0.7254901960784313,663,0.691520316217725,0.7594600759391377
Michael (2018),Damaged,11,0.692390139335477,933,0.6627765661223176,0.7220037125486364
Michael (2018),Damaged,12,0.6977459016393442,976,0.6689343990217219,0.7265574042569666
Michael (2018),Damaged,13,0.7098393574297188,996,0.6816538607684773,0.7380248540909603
Michael (2018),Damaged,14,0.702862783810464,1013,0.674720123547331,0.7310054440735969
Michael (2018),Damaged,15,0.7047619047619048,630,0.6691419630590668,0.7403818464647428
Michael (2018),Undamaged,-10,0.06802721088435375,147,0.02732290504352935,0.10873151672517814
Michael (2018),Undamaged,-9,0.07142857142857142,140,0.028767113413168344,0.1140900294439745
Michael (2018),Undamaged,-8,0.12422360248447205,161,0.07327388133075532,0.17517332363818877
Michael (2018),Undamaged,-7,0.1375,160,0.08413862878916997,0.19086137121083005
Michael (2018),Undamaged,-6,0.1702127659574468,47,0.0627676741102313,0.2776578578046623
Michael (2018),Undamaged,-5,0.2122905027932961,179,0.15238346033201758,0.2721975452545746
Michael (2018),Undamaged,-4,0.23684210526315788,152,0.1692538968729479,0.30443031365336787
Michael (2018),Undamaged,-3,0.2302158273381295,139,0.1602315070440743,0.3002001476321847
Michael (2018),Undamaged,-2,0.28484848484848485,165,0.21598006987984125,0.35371689981712845
Michael (2018),Undamaged,-1,0.3769230769230769,130,0.29361605828920617,0.46023009555694766
Michael (2018),Undamaged,0,0.6111111111111112,54,0.4810845583024656,0.7411376639197567
Michael (2018),Undamaged,1,0.5274725274725275,91,0.42489580241098446,0.6300492525340705
Michael (2018),Undamaged,2,0.5542168674698795,83,0.447282153856544,0.661151581083215
Michael (2018),Undamaged,3,0.6091954022988506,87,0.5066645456935379,0.7117262589041633
Michael (2018),Undamaged,4,0.4782608695652174,92,0.3761854233067917,0.5803363158236431
Michael (2018),Undamaged,5,0.4742268041237113,97,0.3748551603481779,0.5735984478992447
Michael (2018),Undamaged,6,0.4144144144144144,111,0.3227697474494833,0.5060590813793455
Michael (2018),Undamaged,7,0.44285714285714284,140,0.36057470244608064,0.525139583268205
Michael (2018),Undamaged,8,0.480225988700565,177,0.40662230534065813,0.5538296720604718
Michael (2018),Undamaged,9,0.47183098591549294,142,0.38972182995551236,0.5539401418754735
Michael (2018),Undamaged,10,0.5217391304347826,92,0.4196636841763569,0.6238145766932083
Michael (2018),Undamaged,11,0.4406779661016949,118,0.3510988650279305,0.5302570671754594
Michael (2018),Undamaged,12,0.5478260869565217,115,0.4568596346871211,0.6387925392259223
Michael (2018),Undamaged,13,0.5132743362831859,113,0.42111618636759174,0.60543248619878
Michael (2018),Undamaged,14,0.5407407407407407,135,0.456676229280314,0.6248052522011674
Michael (2018),Undamaged,15,0.5952380952380952,84,0.49026896397314423,0.7002072265030462
