disaster,distance_km,density
Harvey (2017),86.57314629258518,0.0015366448108483583
Harvey (2017),86.97394789579158,0.0015226582345418786
Harvey (2017),87.374749498998,0.0015086032426339646
Harvey (2017),87.77555110220442,0.0014944924164418828
Harvey (2017),88.17635270541082,0.0014803439056445718
Harvey (2017),88.57715430861724,0.0014661808430328376
Harvey (2017),88.97795591182366,0.0014520306842436635
Harvey (2017),89.37875751503006,0.0014379244884943573
Harvey (2017),89.77955911823648,0.0014238961573797581
Harvey (2017),90.1803607214429,0.001409981649358995
Harvey (2017),90.5811623246493,0.001396218187625749
Harvey (2017),90.98196392785572,0.0013826434786326875
Harvey (2017),91.38276553106213,0.0013692949576472216
Harvey (2017),91.78356713426854,0.0013562090763901838
Harvey (2017),92.18436873747495,0.0013434206461020175
Harvey (2017),92.58517034068136,0.0013309622473569368
Harvey (2017),92.98597194388778,0.0013188637156778356
Harvey (2017),93.3867735470942,0.0013071517095747183
Harvey (2017),93.7875751503006,0.001295849365120938
Harvey (2017),94.18837675350701,0.0012849760386812715
Harvey (2017),94.58917835671343,0.001274547136995345
Harvey (2017),94.98997995991984,0.0012645740315768757
Harvey (2017),95.39078156312625,0.0012550640523816764
Harvey (2017),95.79158316633267,0.0012460205539822982
Harvey (2017),96.19238476953907,0.0012374430461089612
Harvey (2017),96.59318637274549,0.0012293273794038255
Harvey (2017),96.99398797595191,0.0012216659766036693
Harvey (2017),97.39478957915831,0.0012144480991125143
Harvey (2017),97.79559118236473,0.001207660139035639
Harvey (2017),98.19639278557115,0.001201285927189636
Harvey (2017),98.59719438877755,0.0011953070483388287
Harvey (2017),98.99799599198397,0.001189703155885924
Harvey (2017),99.39879759519039,0.001184452279406455
Harvey (2017),99.79959919839679,0.0011795311197013408
Harvey (2017),100.20040080160321,0.0011749153273864774
Harvey (2017),100.60120240480963,0.0011705797623825852
Harvey (2017),101.00200400801603,0.001166498732954736
Harvey (2017),101.40280561122245,0.0011626462141301763
Harvey (2017),101.80360721442887,0.0011589960463522736
Harvey (2017),102.20440881763527,0.0011555221160766572
Harvey (2017),102.60521042084169,0.0011521985206603517
Harvey (2017),103.0060120240481,0.001148999720326096
Harvey (2017),103.40681362725451,0.0011459006802008503
Harvey (2017),103.80761523046093,0.0011428770054394684
Harvey (2017),104.20841683366734,0.0011399050722691625
Harvey (2017),104.60921843687375,0.0011369621574519751
Harvey (2017),105.01002004008016,0.00113402656819061
Harvey (2017),105.41082164328658,0.0011310777739306152
Harvey (2017),105.81162324649299,0.0011280965408724682
Harvey (2017),106.2124248496994,0.0011250650693348794
Harvey (2017),106.61322645290582,0.0011219671334367625
Harvey (2017),107.01402805611222,0.0011187882219185511
Harvey (2017),107.41482965931864,0.0011155156783280629
Harvey (2017),107.81563126252506,0.0011121388382714433
Harvey (2017),108.21643286573146,0.0011086491609908682
