disaster,population,mobile_count
Harvey,2484,53
Harvey,5556,237
Harvey,4716,48
Harvey,4657,102
Harvey,6677,55
Harvey,4938,107
Harvey,3973,88
Harvey,6674,73
Harvey,5566,40
Harvey,1642,35
Harvey,12106,65
Harvey,8310,79
Harvey,6190,541
Harvey,4853,209
Harvey,12139,178
Harvey,18252,187
Harvey,5144,362
Harvey,2362,523
Harvey,3315,24
Harvey,1534,35
Harvey,2241,83
Harvey,3487,175
Harvey,2546,63
Harvey,9899,166
Harvey,2982,40
Harvey,9458,141
Harvey,1661,72
Harvey,8318,320
Harvey,2768,102
Harvey,6056,176
Harvey,0,206
Harvey,0,16
Harvey,4860,217
Harvey,4378,49
Harvey,5167,20
Harvey,2374,180
Harvey,8636,238
Harvey,8184,51
Harvey,0,66
Harvey,6977,19
Harvey,3653,98
Harvey,5968,59
Harvey,2613,27
Harvey,3538,49
Harvey,3059,54
Harvey,3759,75
Harvey,3641,50
Harvey,7069,112
Harvey,6903,144
Harvey,6825,98
Harvey,4147,148
Harvey,2034,46
Harvey,2553,75
Harvey,1243,26
Harvey,774,67
Harvey,4061,123
Harvey,5919,206
Harvey,5843,39
Harvey,2213,141
Harvey,4397,88
Harvey,4022,196
Harvey,5937,256
Harvey,6681,140
Harvey,8720,213
Harvey,4955,146
Harvey,6157,153
Harvey,6837,180
Harvey,11388,447
Harvey,13587,313
Harvey,4064,72
Harvey,5011,93
Harvey,4799,156
Harvey,2301,129
Harvey,6226,175
Harvey,5218,92
Harvey,1188,97
Harvey,8110,110
Harvey,7309,196
Harvey,5397,53
Harvey,7512,56
Harvey,5777,214
Harvey,4101,45
Harvey,8236,144
Harvey,2122,68
Harvey,3514,56
Harvey,3736,54
Harvey,4715,48
Harvey,5294,74
Harvey,6816,95
Harvey,5415,100
Harvey,4933,45
Harvey,5955,200
Harvey,7546,106
Harvey,4755,51
Harvey,5355,73
Harvey,4334,79
Harvey,5804,80
Harvey,5423,39
Harvey,3347,91
Harvey,2548,32
Harvey,2433,72
Harvey,6049,73
Harvey,10485,213
Harvey,8020,236
Harvey,3668,59
Harvey,1939,40
Harvey,8023,118
Harvey,5390,88
Harvey,4978,111
Harvey,6259,24
Harvey,8129,23
Harvey,5340,120
Harvey,10116,135
Harvey,10829,176
Harvey,12629,181
Harvey,5254,106
Harvey,3868,150
Harvey,9965,143
Harvey,8596,126
Harvey,5365,109
Harvey,4797,140
Harvey,6147,96
Harvey,9031,74
Harvey,5605,149
Harvey,13840,99
Harvey,3513,39
Harvey,7309,16
Harvey,4742,123
Harvey,5961,38
Harvey,4775,174
Harvey,7206,327
Harvey,2279,39
Harvey,3546,99
Harvey,1999,118
Harvey,1957,45
Harvey,2556,56
Harvey,1886,66
Harvey,2634,54
Harvey,2404,15
Harvey,5898,104
Harvey,4033,54
Harvey,9101,130
Harvey,4938,87
Harvey,6518,108
Harvey,6154,261
Harvey,4245,83
Harvey,5212,80
Harvey,1142,19
Harvey,3319,82
Harvey,5072,41
Harvey,7800,290
Harvey,4652,69
Harvey,6133,98
Harvey,1760,32
Harvey,6065,88
Harvey,2171,40
Harvey,917,130
Harvey,3762,21
Harvey,4172,24
Harvey,3576,102
Harvey,4648,122
Harvey,5310,93
Harvey,1983,53
Harvey,5502,73
Harvey,3781,224
Harvey,1977,66
Harvey,4246,21
Harvey,2769,336
Harvey,5841,24
Harvey,4083,107
Harvey,3139,17
Harvey,4943,271
Harvey,7339,162
Harvey,7442,75
Harvey,3140,165
Harvey,5268,105
Harvey,8027,238
Harvey,4240,104
Harvey,3716,108
Harvey,551,4
Harvey,2887,71
Harvey,2898,36
Harvey,6875,113
Harvey,4556,200
Harvey,3475,63
Harvey,3324,122
Harvey,4559,92
Harvey,2172,62
Harvey,2174,82
Harvey,4751,35
Harvey,3550,32
Harvey,3991,46
Harvey,6773,102
Harvey,2286,103
Harvey,3933,72
Harvey,2585,74
Harvey,3794,119
Harvey,1884,82
Harvey,1336,94
Harvey,3509,57
Harvey,5863,189
Harvey,3428,84
Harvey,558,36
Harvey,3353,80
Harvey,2189,57
Harvey,8233,160
Harvey,4892,158
Harvey,4387,135
Harvey,2072,53
Harvey,6036,47
Harvey,1086,41
Harvey,2934,72
Harvey,3997,126
Harvey,1436,46
Harvey,2250,12
Harvey,2689,47
Harvey,5263,138
Harvey,2379,112
Harvey,3332,45
Harvey,4248,80
Harvey,1918,42
Harvey,6870,70
Harvey,3310,73
Harvey,3985,51
Harvey,3588,40
Harvey,5939,61
Harvey,5231,77
Harvey,7250,76
Harvey,9590,91
Harvey,5394,80
Harvey,3034,41
Harvey,9056,109
Harvey,4500,136
Harvey,3129,91
Harvey,2266,99
Harvey,5761,122
Harvey,6860,115
Harvey,3532,97
Harvey,11243,97
Harvey,6256,88
Harvey,1832,52
Harvey,6286,149
Harvey,6956,77
Harvey,2589,53
Harvey,4829,126
Harvey,2945,60
Harvey,3290,154
Harvey,6776,166
Harvey,4218,165
Harvey,2848,84
Harvey,1703,65
Harvey,4209,209
Harvey,3866,45
Harvey,2274,106
Harvey,4453,34
Harvey,5538,50
Harvey,4658,151
Harvey,5855,117
Harvey,5667,80
Harvey,5088,216
Harvey,6895,151
Harvey,2897,282
Harvey,5598,76
Harvey,2692,337
Harvey,12785,398
Harvey,4855,67
Harvey,5010,170
Harvey,2299,110
Harvey,2790,42
Harvey,5670,165
Harvey,0,3
Harvey,0,22
Harvey,1033,7
Harvey,0,88
Harvey,0,77
Harvey,7193,349
Harvey,5011,125
Harvey,2812,55
Harvey,1904,43
Harvey,7234,116
Harvey,4625,84
Harvey,4128,153
Harvey,2668,0
Harvey,4367,0
Harvey,4042,0
Harvey,2651,0
